Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
8.5101125,3.3496856178,1018.4673775793,587.3500522793,0.4195251972,1.2576815128,1.7350134858,90959.917841974,-0.0527620958,-0.03833233,-0.0015511609,0.0057742003
8.524375,3.3482129388,1017.9967521011,588.3196342791,0.4202145482,1.2598347872,1.7408786735,91205.6516656499,-0.0126014009,-0.1035749281,-0.0020457464,0.0047339719
8.5386375,3.3467402598,1017.5261266229,589.2932140594,0.4209039332,1.2619886073,1.746753412,91451.477404271,0.0436463423,-0.1383742931,-0.0018332087,0.0029659751
8.5529,3.3452675809,1017.0555011447,590.2735787348,0.421593353,1.2641429762,1.752637701,91697.3940545836,0.0976173089,-0.1358920179,-0.0008115742,0.0009658944
8.5671625,3.3437949019,1016.5848756666,591.2623174041,0.4222828083,1.2662978969,1.7585315399,91943.4006119406,0.1310438059,-0.1002712298,0.0008526983,-0.0007512508
8.581425,3.3423222229,1016.1142501884,592.259567171,0.4229722998,1.2684533725,1.7644349282,92189.4960721321,0.1314630711,-0.0450713308,0.0027679255,-0.0018004331
8.5956875,3.3408495439,1015.6436247102,593.2640074205,0.4236618283,1.2706094062,1.7703478653,92435.679435335,0.0961558062,0.0111114811,0.0044310717,-0.00203237
8.60995,3.3393768649,1015.172999232,594.2730982432,0.4243513944,1.2727660009,1.776270351,92681.9497073175,0.0331053962,0.050473003,0.0053774942,-0.0015644832
8.6242125,3.3379041859,1014.7023737538,595.2835190854,0.4250409991,1.2749231601,1.7822023853,92928.3058968257,-0.0413158775,0.0614787995,0.0053207662,-0.0007290359
8.638475,3.3364315069,1014.2317482756,596.2917331521,0.425730643,1.2770808868,1.7881439687,93174.7470094377,-0.1072216758,0.0423091829,0.0042398419,4.40802701304274E-005
8.6527375,3.3349588279,1013.7611227974,597.2945849077,0.4264203268,1.2792391842,1.7940951019,93421.2720416472,-0.147149163,0.0012259005,0.0023870241,0.0003724533
8.667,3.3334861489,1013.2904973192,598.2898332821,0.4271100514,1.2813980555,1.8000557861,93667.8799792822,-0.1512368006,-0.0462272638,0.0002145178,4.84017842735934E-005
8.6812625,3.3320134699,1012.819871841,599.2765322718,0.4277998174,1.2835575037,1.8060260224,93914.5698018393,-0.1200586614,-0.0822948527,-0.0017576896,-0.0008914684
8.695525,3.330540791,1012.3492463628,600.2551932062,0.4284896256,1.2857175318,1.8120058122,94161.3404908103,-0.064259889,-0.0927527359,-0.0030920128,-0.0021759645
8.7097875,3.329068112,1011.8786208846,601.2276975189,0.4291794766,1.2878781431,1.8179951565,94408.1910379472,-0.0011301634,-0.0715206718,-0.0035556481,-0.0033849039
8.72405,3.327595433,1011.4079954064,602.1969712685,0.4298693713,1.2900393408,1.8239940563,94655.1204496732,0.0508001777,-0.0226992356,-0.0031782288,-0.0040834436
8.7383125,3.326122754,1010.9373699283,603.166475838,0.4305593104,1.2922011282,1.8300025121,94902.1277454898,0.0774487309,0.0406048901,-0.0022281929,-0.0039627241
8.752575,3.324650075,1010.4667444501,604.1396043104,0.4312492948,1.2943635085,1.836020524,95149.2119527942,0.0733833793,0.1002935401,-0.0011166821,-0.0029424764
